Ticker:,The earliest date of price,The latest date of price,Average daily trading volume in USD,Average daily trading volume in USD for 180 days starting 2 years ago
AIRT,2005-07-15,2020-07-10,1316.736,7601.57
AIT,2005-07-15,2020-07-10,73665.01,40016.25
AIV,2005-07-15,2020-07-10,306196.258,103958.672
AIZ,2005-07-15,2020-07-10,356314.986,186186.065
AJG,2005-07-15,2020-07-10,279056.3,75338.152
AJRD,2005-07-15,2020-07-10,84530.85,65539.306
AJX,2015-02-13,2020-07-10,6808.742,4636.91
AKAM,2005-07-15,2020-07-10,1250345.539,437344.703
AKBA,2014-03-20,2020-07-10,53616.379,44018.57
AKCA,2017-07-14,2020-07-10,57195.405,75110.375
AKER,2014-01-23,2020-07-10,11492.762,860.805
AKR,2005-07-15,2020-07-10,67490.696,10940.657
AKTS,2015-05-29,2020-07-10,12116.069,56.444
AL,2011-04-19,2020-07-10,211036.666,85213.081
ALB,2005-07-15,2020-07-10,544575.943,79190.56
ALBO,2007-05-11,2020-07-10,10448.726,15280.14
ALCO,2005-07-15,2020-07-10,4203.023,5000.017
ALDX,2014-05-02,2020-07-10,14515.835,1298.28
ALE,2005-07-15,2020-07-10,78946.135,29775.143
ALEC,2019-02-07,2020-07-10,83607.748,50636.063
ALEX,2012-06-14,2020-07-10,56636.519,52700.508
ALG,2005-07-15,2020-07-10,19017.023,1762.846
ALGN,2005-07-15,2020-07-10,631935.56,46096.607
ALGT,2006-12-08,2020-07-10,128445.188,39184.249
ALIM,2010-04-22,2020-07-10,5646.951,8206.537
ALJJ,2007-11-07,2020-07-10,741.23,294.334
ALK,2005-07-15,2020-07-10,483427.864,152246.657
ALKS,2005-07-15,2020-07-10,284006.143,273033.941
ALL,2005-07-15,2020-07-10,1271435.812,1123721.82
ALLE,2013-11-18,2020-07-10,450329.011,426314.449
ALLK,2018-07-19,2020-07-10,195297.592,108610.786
ALLO,2018-10-11,2020-07-10,170859.764,139462.212
ALLY,2014-04-10,2020-07-10,813880.18,818929.049
ALNA,2017-11-02,2020-07-10,7670.477,12413.481
ALNY,2005-07-15,2020-07-10,331219.882,34784.6
ALOT,2005-07-15,2020-07-10,1340.545,598.254
ALPN,2017-07-25,2020-07-10,8113.475,2581.574
ALRM,2015-06-26,2020-07-10,138406.208,52982.865
ALSK,2005-07-15,2020-07-10,16602.208,17773.493
ALSN,2012-03-15,2020-07-10,334231.702,89926.217
ALT,2017-05-05,2020-07-10,54587.149,3119.11
ALTM,2018-11-12,2020-07-10,19046.185,28953.349
ALTR,2017-11-01,2020-07-10,97443.879,96339.869
ALV,2005-07-15,2020-07-10,368323.354,169695.687
ALX,2005-07-15,2020-07-10,13599.774,4873.556
ALXN,2005-07-15,2020-07-10,1252291.57,178646.039
AM,2017-05-04,2020-07-10,211224.919,98347.17
AMAG,2005-07-15,2020-07-10,142613.753,20122.316
AMAL,2018-06-07,2020-07-10,11067.567,16989.894
AMAT,2005-07-15,2020-07-10,2914932.791,3132303.566
AMBC,2013-05-01,2020-07-10,75199.812,150260.049
AMC,2013-12-18,2020-07-10,169745.264,55797.987
AMCR,2019-06-11,2020-07-10,772450.946,722248.958
AMCX,2011-06-16,2020-07-10,338628.234,199244.028
AMD,2015-01-02,2020-07-10,11099352.821,355868.14
AME,2005-07-15,2020-07-10,450562.516,121813.782
AMED,2005-07-15,2020-07-10,192646.924,192297.788
AMEH,2008-09-24,2020-07-10,3942.12,0.0
AMG,2005-07-15,2020-07-10,513564.208,339352.702
AMGN,2005-07-15,2020-07-10,3971301.743,5193573.454
AMH,2013-08-01,2020-07-10,348985.216,167398.592
AMKR,2005-07-15,2020-07-10,142360.884,155441.447
AMN,2005-07-15,2020-07-10,104823.113,35594.152
AMNB,2005-07-15,2020-07-10,2251.344,384.581
AMOT,2005-07-15,2020-07-10,5825.645,209.411
AMP,2005-09-15,2020-07-10,842206.115,449440.471
AMPE,2011-05-20,2020-07-10,16629.85,7515.826
AMPH,2014-06-25,2020-07-10,36951.641,17843.364
AMPY,2017-05-04,2020-07-10,13216.212,17378.786
AMRB,2005-07-15,2020-07-10,1024.84,1130.054
AMRC,2010-07-22,2020-07-10,13462.53,21168.027
AMRK,2014-03-17,2020-07-10,2270.137,1484.756
AMRS,2010-09-28,2020-07-10,28976.238,34055.492
AMRX,2018-05-07,2020-07-10,129440.906,217862.664
AMS,2005-07-15,2020-07-10,454.709,828.937
AMSC,2005-07-15,2020-07-10,78870.316,25228.881
AMSF,2005-11-18,2020-07-10,21267.565,3686.813
AMSWA,2005-07-15,2020-07-10,5152.607,2246.645
AMT,2005-07-15,2020-07-10,1655579.416,638609.644
AMTD,2005-07-15,2020-07-10,799312.285,597289.591
AMTX,2011-11-16,2020-07-10,2284.611,1601.53
AMWD,2005-07-15,2020-07-10,52637.159,23585.379
AMZN,2005-07-15,2020-07-10,17351890.328,2694010.754
AN,2005-07-15,2020-07-10,379453.7,218781.186
ANAB,2017-01-26,2020-07-10,151723.409,60830.616
ANAT,2005-07-15,2020-07-10,18408.184,2271.127
ANDE,2005-07-15,2020-07-10,71308.188,16278.896
ANET,2014-06-06,2020-07-10,1095439.866,349672.559
ANF,2005-07-15,2020-07-10,749575.959,921361.509
ANGI,2011-11-18,2020-07-10,110545.096,45686.906
ANGO,2005-07-15,2020-07-10,28841.257,35394.873
ANH,2005-07-15,2020-07-10,22566.935,5414.61
ANIK,2005-07-15,2020-07-10,32546.673,9032.402
ANIP,2005-07-15,2020-07-10,41106.662,2433.131
ANIX,2015-07-10,2020-07-10,7439.386,444.136
ANSS,2005-07-15,2020-07-10,346308.724,79106.844
ANTM,2005-07-15,2020-07-10,2153195.365,1587600.536
AON,2005-07-15,2020-07-10,985563.953,471531.798
AOS,2005-07-15,2020-07-10,284327.673,69943.931
AOSL,2010-04-29,2020-07-10,10616.842,15206.808
AP,2005-07-15,2020-07-10,8462.846,2873.083
APA,2005-07-15,2020-07-10,2227833.149,1748809.355
APAM,2013-03-07,2020-07-10,81908.903,45992.482
APD,2005-07-15,2020-07-10,1091943.047,419702.62
APDN,2008-01-03,2020-07-10,7823.091,0.0
APEI,2007-11-09,2020-07-10,46948.541,46235.661
APEN,2016-06-13,2020-07-10,3135.321,5599.215
APEX,2005-07-15,2020-07-10,7001.201,7001.229
APH,2005-07-15,2020-07-10,588538.5,205016.276
APLE,2015-05-18,2020-07-10,178299.386,177366.675
APLS,2017-11-09,2020-07-10,119688.383,50343.27
APOG,2005-07-15,2020-07-10,55651.841,14451.097
APPF,2015-06-26,2020-07-10,53634.029,13811.874
APPN,2017-05-25,2020-07-10,193561.937,88040.656
APPS,2013-06-12,2020-07-10,31628.802,4242.891
APRN,2017-06-29,2020-07-10,115181.47,165895.733
APT,2005-07-15,2020-07-10,31832.03,3782.287
APTS,2011-04-01,2020-07-10,19130.08,553.8
APTV,2011-11-17,2020-07-10,1152247.421,511591.003
APVO,2016-07-20,2020-07-10,9157.019,7297.939
APYX,2019-01-02,2020-07-10,9252.403,13760.669
AQB,2017-01-10,2020-07-10,3134.564,2292.822
AQMS,2015-07-31,2020-07-10,16152.912,1914.425
AQUA,2017-11-02,2020-07-10,114944.77,152405.17
AR,2013-10-10,2020-07-10,590303.623,619316.898
ARA,2016-04-21,2020-07-10,21685.164,39598.192
ARAV,2014-03-21,2020-07-10,22394.612,35365.129
ARAY,2007-02-08,2020-07-10,47285.531,137704.112
ARC,2005-07-15,2020-07-10,23647.74,23210.275
ARCB,2005-07-15,2020-07-10,102753.846,110760.007
ARCH,2005-07-15,2020-07-10,730399.192,1079246.123
ARDX,2014-06-19,2020-07-10,24813.057,14669.773
